alert_id,priority,sla_minutes,created_at,due_at,breached,last_checked
TXN-4A04FA61,P3,1440,2026-05-17T10:59:54.463733,2026-05-18T10:59:54.463733,False,2026-05-17T10:59:54.463733
TXN-D4259CAA,P3,1440,2026-05-17T11:00:01.827574,2026-05-18T11:00:01.827574,False,2026-05-17T11:00:01.827574
TXN-B9D17144,P3,1440,2026-05-17T11:00:02.160121,2026-05-18T11:00:02.160121,False,2026-05-17T11:00:02.160121
TXN-5E4984B6,P3,1440,2026-05-17T11:00:04.701888,2026-05-18T11:00:04.701888,False,2026-05-17T11:00:04.701888
TXN-30492A5A,P3,1440,2026-05-17T11:00:05.083262,2026-05-18T11:00:05.083262,False,2026-05-17T11:00:05.083262
TXN-C1A6E521,P3,1440,2026-05-17T11:00:07.566504,2026-05-18T11:00:07.566504,False,2026-05-17T11:00:07.566504
TXN-7B53F08E,P3,1440,2026-05-17T11:00:08.093960,2026-05-18T11:00:08.093960,False,2026-05-17T11:00:08.093960
TXN-44E545F2,P3,1440,2026-05-17T11:00:10.447214,2026-05-18T11:00:10.447214,False,2026-05-17T11:00:10.447214
TXN-79D93D53,P3,1440,2026-05-17T11:00:10.954302,2026-05-18T11:00:10.954302,False,2026-05-17T11:00:10.954302
TXN-B59618A9,P3,1440,2026-05-17T11:00:12.610459,2026-05-18T11:00:12.610459,False,2026-05-17T11:00:12.610459
TXN-B9FC799A,P3,1440,2026-05-17T11:00:13.896999,2026-05-18T11:00:13.896999,False,2026-05-17T11:00:13.896999
TXN-E6321110,P3,1440,2026-05-17T11:00:40.932931,2026-05-18T11:00:40.932931,False,2026-05-17T11:00:40.932931
TXN-5C8BE3C3,P3,1440,2026-05-17T11:00:46.694463,2026-05-18T11:00:46.694463,False,2026-05-17T11:00:46.694463
TXN-088DF749,P3,1440,2026-05-17T11:00:49.601499,2026-05-18T11:00:49.601499,False,2026-05-17T11:00:49.601499
TXN-DE2E8219,P3,1440,2026-05-17T11:00:51.141877,2026-05-18T11:00:51.141877,False,2026-05-17T11:00:51.141877
TXN-40432BEA,P3,1440,2026-05-17T11:00:51.192847,2026-05-18T11:00:51.192847,False,2026-05-17T11:00:51.192847
TXN-E67F66A8,P3,1440,2026-05-17T11:00:52.519215,2026-05-18T11:00:52.519215,False,2026-05-17T11:00:52.519215
TXN-FE254666,P3,1440,2026-05-17T11:00:53.839462,2026-05-18T11:00:53.839462,False,2026-05-17T11:00:53.839462
TXN-45372A9D,P3,1440,2026-05-17T11:00:54.085488,2026-05-18T11:00:54.085488,False,2026-05-17T11:00:54.085488
TXN-6FE21FB3,P3,1440,2026-05-17T11:00:56.710395,2026-05-18T11:00:56.710395,False,2026-05-17T11:00:56.710395
TXN-3E199AF8,P3,1440,2026-05-17T11:00:56.949005,2026-05-18T11:00:56.949005,False,2026-05-17T11:00:56.949005
TXN-B68AE7C4,P3,1440,2026-05-17T11:00:58.066748,2026-05-18T11:00:58.066748,False,2026-05-17T11:00:58.066748
TXN-8D217243,P3,1440,2026-05-17T11:00:59.603385,2026-05-18T11:00:59.603385,False,2026-05-17T11:00:59.603385
TXN-51B6884A,P3,1440,2026-05-17T11:00:59.705444,2026-05-18T11:00:59.705444,False,2026-05-17T11:00:59.705444
TXN-5E30B20A,P3,1440,2026-05-17T11:01:02.496715,2026-05-18T11:01:02.496715,False,2026-05-17T11:01:02.496715
TXN-6322E660,P3,1440,2026-05-17T11:01:02.603691,2026-05-18T11:01:02.603691,False,2026-05-17T11:01:02.603691
TXN-9481D977,P3,1440,2026-05-17T11:01:03.579424,2026-05-18T11:01:03.579424,False,2026-05-17T11:01:03.579424
