user_id,graph_score,known_fraud_connections,mule_cluster_size,inbound_sources,outbound_dest,rapid_account_cluster_flag,mule_cluster_flag
U0,0,0,0,2,1,0,0
U1,0,0,2,1,0,0,0
U2,0,0,0,0,0,0,0
U3,0,0,0,0,0,0,0
U4,0,0,0,0,1,0,0
U5,0,0,2,0,1,0,0
U6,0,0,1,2,1,0,0
U7,0,0,0,1,1,0,0
U8,0,0,0,1,1,0,0
U9,0,0,0,1,0,0,0
U10,0,0,1,1,2,0,0
U11,0,0,3,1,0,0,0
U12,0,0,3,0,1,0,0
U13,0,0,1,1,1,0,0
U14,0,0,0,1,1,0,0
U15,0,0,0,0,3,0,0
U16,0,0,0,0,1,0,0
U17,0,0,0,2,0,0,0
U18,0,0,1,0,1,0,0
U19,0,0,2,0,0,0,0
U20,0,0,0,0,0,0,0
U21,0,0,1,0,0,0,0
U22,0,0,0,2,0,0,0
U23,0,0,0,0,1,0,0
U24,0,0,0,2,3,0,0
U25,0,0,0,0,1,0,0
U26,0,0,0,0,0,0,0
U27,0,0,0,1,1,0,0
U28,0,0,0,0,1,0,0
U29,0,0,0,0,0,0,0
U30,0,0,1,0,0,0,0
U31,40,1,2,1,1,0,0
U32,0,0,1,2,2,0,0
U33,0,0,2,1,1,0,0
U34,0,0,1,1,1,0,0
U35,0,0,0,1,1,0,0
U36,0,0,0,1,0,0,0
U37,0,0,1,2,1,0,0
U38,0,0,0,1,1,0,0
U39,0,0,0,1,1,0,0
U40,0,0,0,0,0,0,0
U41,0,0,0,0,0,0,0
U42,0,0,0,2,0,0,0
U43,0,0,1,2,1,0,0
U44,0,0,0,1,0,0,0
U45,0,0,1,0,2,0,0
U46,0,0,0,0,1,0,0
U47,0,0,0,0,1,0,0
U48,0,0,0,1,0,0,0
U49,0,0,0,2,0,0,0
U50,40,1,1,0,3,0,0
U51,0,0,0,2,5,0,0
U52,0,0,1,1,1,0,0
U53,0,0,1,2,2,0,0
U54,0,0,0,1,0,0,0
U55,0,0,0,2,2,0,0
U56,0,0,2,1,1,0,0
U57,0,0,1,2,3,0,0
U58,0,0,0,0,1,0,0
U59,0,0,1,1,0,0,0
U60,0,0,2,2,1,0,0
U61,0,0,1,0,1,0,0
U62,0,0,0,3,2,0,0
U63,0,0,0,1,1,0,0
U64,0,0,1,1,0,0,0
U65,0,0,0,1,1,0,0
U66,0,0,0,1,0,0,0
U67,0,0,0,2,0,0,0
U68,0,0,1,0,0,0,0
U69,0,0,0,0,1,0,0
U70,0,0,0,0,0,0,0
U71,0,0,0,0,0,0,0
U72,0,0,0,2,0,0,0
U73,0,0,0,0,0,0,0
U74,0,0,0,1,3,0,0
U75,0,0,0,2,2,0,0
U76,0,0,1,1,2,0,0
U77,0,0,0,0,1,0,0
U78,0,0,0,1,1,0,0
U79,0,0,1,1,1,0,0
U80,0,0,0,2,1,0,0
U81,0,0,2,2,2,0,0
U82,0,0,0,0,0,0,0
U83,0,0,0,198,4,0,0
U84,0,0,0,0,2,0,0
U85,0,0,0,1,1,0,0
U86,0,0,0,1,0,0,0
U87,0,0,1,0,1,0,0
U88,0,0,0,2,1,0,0
U89,0,0,1,1,3,0,0
U90,40,1,1,0,1,0,0
U91,0,0,0,2,0,0,0
U92,0,0,0,1,0,0,0
U93,60,0,0,3,1,0,0
U94,0,0,1,2,0,0,0
U95,0,0,0,2,1,0,0
U96,0,0,0,0,0,0,0
U97,0,0,0,0,1,0,0
U98,0,0,1,2,1,0,0
U99,0,0,0,1,0,0,0
U100,100,1,1,4,1,0,0
U101,0,0,0,1,1,0,0
U102,0,0,0,2,0,0,0
U103,0,0,0,0,1,0,0
U104,0,0,0,1,1,0,0
U105,40,1,1,0,1,0,0
U106,60,0,0,3,1,0,0
U107,0,0,1,0,1,0,0
U108,0,0,1,0,2,0,0
U109,0,0,0,0,0,0,0
U110,0,0,0,3,3,0,0
U111,40,1,1,0,0,0,0
U112,0,0,0,2,1,0,0
U113,0,0,0,1,0,0,0
U114,0,0,1,1,2,0,0
U115,0,0,1,1,0,0,0
U116,0,0,0,3,0,0,0
U117,60,0,0,3,1,0,0
U118,40,1,1,2,0,0,0
U119,0,0,0,3,2,0,0
U120,0,0,0,1,1,0,0
U121,0,0,0,0,1,0,0
U122,0,0,0,1,0,0,0
U123,0,0,0,0,0,0,0
U124,0,0,0,2,2,0,0
U125,0,0,0,0,3,0,0
U126,0,0,0,1,1,0,0
U127,0,0,1,1,1,0,0
U128,0,0,0,0,1,0,0
U129,0,0,1,1,1,0,0
U130,0,0,1,2,1,0,0
U131,0,0,1,0,0,0,0
U132,40,1,2,1,1,0,0
U133,0,0,0,1,2,0,0
U134,0,0,1,1,0,0,0
U135,0,0,0,1,1,0,0
U136,0,0,0,2,0,0,0
U137,0,0,0,0,0,0,0
U138,0,0,0,176,0,0,0
U139,0,0,1,1,0,0,0
U140,0,0,0,1,2,0,0
U141,0,0,0,1,0,0,0
U142,0,0,0,1,2,0,0
U143,0,0,3,1,1,0,0
U144,0,0,1,0,1,0,0
U145,40,1,1,1,2,0,0
U146,60,0,1,163,1,0,0
U147,60,0,2,3,1,0,0
U148,0,0,0,1,1,0,0
U149,0,0,0,1,2,0,0
U150,0,0,0,1,1,0,0
U151,0,0,0,2,0,0,0
U152,0,0,0,1,0,0,0
U153,0,0,0,0,0,0,0
U154,0,0,2,1,0,0,0
U155,0,0,1,1,2,0,0
U156,0,0,1,0,0,0,0
U157,0,0,1,1,0,0,0
U158,0,0,0,2,2,0,0
U159,0,0,0,1,1,0,0
U160,0,0,1,1,3,0,0
U161,0,0,0,0,0,0,0
U162,0,0,0,1,2,0,0
U163,0,0,0,0,2,0,0
U164,60,0,1,4,1,0,0
U165,0,0,1,1,2,0,0
U166,0,0,0,1,0,0,0
U167,0,0,0,1,2,0,0
U168,0,0,0,2,1,0,0
U169,0,0,1,2,2,0,0
U170,0,0,0,0,0,0,0
U171,0,0,0,1,1,0,0
U172,0,0,0,1,1,0,0
U173,0,0,1,0,2,0,0
U174,0,0,1,2,1,0,0
U175,0,0,0,1,1,0,0
U176,0,0,1,1,0,0,0
U177,60,0,1,6,1,0,0
U178,0,0,0,0,0,0,0
U179,0,0,0,0,1,0,0
U180,0,0,0,0,0,0,0
U181,0,0,0,1,1,0,0
U182,0,0,1,0,0,0,0
U183,0,0,0,1,0,0,0
U184,60,0,2,3,1,0,0
U185,0,0,1,0,1,0,0
U186,60,0,1,3,1,0,0
U187,0,0,0,0,0,0,0
U188,40,1,4,1,2,0,0
U189,0,0,0,1,0,0,0
U190,0,0,1,1,2,0,0
U191,0,0,0,2,0,0,0
U192,0,0,0,0,1,0,0
U193,0,0,0,1,1,0,0
U194,0,0,0,1,1,0,0
U195,0,0,1,1,1,0,0
U196,0,0,1,1,0,0,0
U197,0,0,0,2,0,0,0
U198,0,0,1,0,1,0,0
U199,0,0,0,1,1,0,0
U200,0,0,0,1,2,0,0
