trans_id,sender_id,receiver_id,amount,transaction_type,channel,sender_bal_before,sender_bal_after,receiver_bal_after,timestamp,location,is_sim_bound,device_id,time_to_pay_ms
T0,U2639,U12150,12586.0,UPI,Web,59348.0,46762.0,294762,2025-05-11 07:12:00,Iwakuni,True,DEV_2639,40321
T1,U13704,U2413,5026.0,UPI,Mobile,61730.0,56704.0,48825,2025-03-29 19:47:00,Iwakuni,True,DEV_13704,44021
T2,U9433,U1323,4982.0,UPI,Mobile,18954.0,13972.0,225697,2025-03-12 02:32:00,Melbourne,True,DEV_9433,14446
T3,U7053,U8721,1944.0,UPI,Mobile,62427.0,60483.0,289313,2025-03-31 16:06:00,Melbourne,True,DEV_7053,12778
T4,U10482,U3170,13757.0,UPI,Mobile,146884.0,133127.0,129084,2025-04-19 15:16:00,Iwakuni,True,DEV_10482,16554
T5,U7313,U6920,6479.0,UPI,Web,72466.0,65987.0,60039,2025-03-21 18:23:00,Asagaya-minami,True,DEV_7313,18170
T6,U17732,U8586,2928.0,UPI,Web,135412.0,132484.0,213533,2025-05-02 01:37:00,Iwakuni,True,DEV_17732,22286
T7,U18238,U20236,9656.0,UPI,Mobile,93331.0,83675.0,58380,2025-04-09 01:43:00,Tokyo,True,DEV_18238,55728
T8,U8613,U5788,6368.0,UPI,Mobile,87062.0,80694.0,232716,2025-03-13 16:58:00,Xiamen,True,DEV_8613,34798
T9,U2139,U15930,10627.0,UPI,Web,93514.0,82887.0,218610,2025-04-26 02:43:00,Melbourne,True,DEV_2139,52079
T10,U16819,U19264,14855.0,UPI,Web,58375.0,43520.0,36025,2025-04-20 22:53:00,Iwakuni,True,DEV_16819,27847
T11,U13408,U18567,6406.0,UPI,Mobile,149825.0,143419.0,154129,2025-03-16 07:02:00,Iwakuni,True,DEV_13408,39370
T12,U9138,U8617,6682.0,UPI,Mobile,141357.0,134675.0,284580,2025-04-28 07:34:00,Iwakuni,True,DEV_9138,49628
T13,U16998,U16559,7856.0,UPI,Web,136453.0,128597.0,251105,2025-04-07 06:06:00,Iwakuni,True,DEV_16998,24186
T14,U14515,U15794,4817.0,UPI,Mobile,95671.0,90854.0,185293,2025-03-27 07:34:00,Asagaya-minami,True,DEV_14515,13982
T15,U13307,U2677,3759.0,UPI,Web,146085.0,142326.0,110960,2025-03-02 09:47:00,Iwakuni,True,DEV_13307,16056
T16,U4759,U15647,4028.0,UPI,Mobile,107262.0,103234.0,68711,2025-05-03 01:41:00,Iwakuni,True,DEV_4759,59131
T17,U15792,U17503,7273.0,UPI,Mobile,116577.0,109304.0,36796,2025-04-22 19:31:00,Tokyo,True,DEV_15792,20123
T18,U821,U13247,14814.0,UPI,Mobile,147615.0,132801.0,101767,2025-04-17 01:15:00,Iwakuni,True,DEV_821,24248
T19,U10960,U3644,12497.0,UPI,Web,22142.0,9645.0,23705,2025-03-24 01:01:00,Asagaya-minami,True,DEV_10960,59543
T20,U12422,U10019,11553.0,UPI,Mobile,33773.0,22220.0,265822,2025-05-13 01:23:00,Melbourne,True,DEV_12422,45778
T21,U11259,U11715,10202.0,UPI,Web,61410.0,51208.0,123729,2025-05-16 20:39:00,Melbourne,True,DEV_11259,40712
T22,U16000,U646,5032.0,UPI,Mobile,26526.0,21494.0,49975,2025-03-31 01:15:00,Melbourne,True,DEV_16000,22940
T23,U2981,U277,344.0,UPI,Mobile,26754.0,26410.0,101632,2025-04-24 05:44:00,Melbourne,True,DEV_2981,14449
T24,U16175,U19301,1372.0,UPI,Mobile,68523.0,67151.0,165136,2025-05-21 20:39:00,Melbourne,True,DEV_16175,36358
T25,U1161,U1067,8039.0,UPI,Web,145659.0,137620.0,117361,2025-03-08 09:34:00,Iwakuni,True,DEV_1161,44984
T26,U18239,U4925,8788.0,UPI,Mobile,97407.0,88619.0,158925,2025-04-09 07:48:00,Melbourne,True,DEV_18239,19236
T27,U14858,U7686,4506.0,UPI,Mobile,148151.0,143645.0,143254,2025-04-29 22:56:00,Asagaya-minami,True,DEV_14858,54836
T28,U1329,U19166,5682.0,UPI,Web,51358.0,45676.0,57849,2025-04-11 10:21:00,Tokyo,True,DEV_1329,14700
T29,U4912,U19185,9814.0,UPI,Web,112537.0,102723.0,118388,2025-05-09 19:08:00,Iwakuni,True,DEV_4912,37677
T30,U19243,U4397,12068.0,UPI,Web,110059.0,97991.0,257252,2025-04-30 20:45:00,Iwakuni,True,DEV_19243,32111
T31,U17777,U19495,3530.0,UPI,Web,40570.0,37040.0,269984,2025-03-11 11:20:00,Iwakuni,True,DEV_17777,19531
T32,U4348,U20536,2894.0,UPI,Mobile,88302.0,85408.0,297777,2025-03-30 07:59:00,Iwakuni,True,DEV_4348,12415
T33,U6888,U11582,10405.0,UPI,Mobile,138565.0,128160.0,152592,2025-04-02 16:43:00,Melbourne,True,DEV_6888,23515
T34,U17259,U11935,3611.0,UPI,Web,72081.0,68470.0,294378,2025-03-14 21:00:00,Iwakuni,True,DEV_17259,15265
T35,U19785,U14531,5881.0,UPI,Mobile,145510.0,139629.0,282490,2025-04-04 20:50:00,Melbourne,True,DEV_19785,30380
T36,U4091,U19968,270.0,UPI,Mobile,54646.0,54376.0,50858,2025-03-02 21:27:00,Melbourne,True,DEV_4091,25976
T37,U5128,U11449,11605.0,UPI,Mobile,143047.0,131442.0,228265,2025-03-29 10:38:00,Melbourne,True,DEV_5128,37554
T38,U4204,U10842,1676.0,UPI,Mobile,85113.0,83437.0,53624,2025-03-15 22:01:00,Melbourne,True,DEV_4204,30867
T39,U14985,U17190,7926.0,UPI,Web,20362.0,12436.0,187077,2025-05-11 06:54:00,Iwakuni,True,DEV_14985,57820
T40,U15400,U8238,1430.0,UPI,Web,37158.0,35728.0,272402,2025-03-10 18:39:00,Melbourne,True,DEV_15400,32929
T41,U3423,U17522,8510.0,UPI,Web,44537.0,36027.0,244244,2025-04-01 18:38:00,Melbourne,True,DEV_3423,41465
T42,U14290,U13660,3065.0,UPI,Mobile,145998.0,142933.0,286949,2025-04-27 03:12:00,Iwakuni,True,DEV_14290,42802
T43,U10467,U19999,8420.0,UPI,Web,128212.0,119792.0,161219,2025-04-15 11:17:00,Tokyo,True,DEV_10467,40033
T44,U2505,U5320,1052.0,UPI,Web,93643.0,92591.0,261157,2025-04-17 09:16:00,Iwakuni,True,DEV_2505,28370
T45,U4734,U594,9450.0,UPI,Web,123493.0,114043.0,118281,2025-04-05 18:02:00,Shenzhen,True,DEV_4734,12790
T46,U15139,U9974,3815.0,UPI,Web,44679.0,40864.0,212523,2025-04-19 15:01:00,Melbourne,True,DEV_15139,19063
T47,U467,U17660,3100.0,UPI,Web,35771.0,32671.0,272844,2025-03-05 06:03:00,Tokyo,True,DEV_467,54915
T48,U3412,U14356,5108.0,UPI,Web,25733.0,20625.0,286926,2025-03-08 19:25:00,Iwakuni,True,DEV_3412,50203
T49,U1023,U7044,11764.0,UPI,Mobile,106702.0,94938.0,242809,2025-03-26 00:04:00,Iwakuni,True,DEV_1023,13867
T50,U20548,U17944,5671.0,UPI,Web,149644.0,143973.0,244719,2025-03-17 17:17:00,Iwakuni,True,DEV_20548,37829
T51,U4589,U2689,2459.0,UPI,Mobile,66869.0,64410.0,185329,2025-04-24 14:41:00,Melbourne,True,DEV_4589,48342
T52,U18207,U2543,2056.0,UPI,Web,27411.0,25355.0,184528,2025-04-18 22:19:00,Iwakuni,True,DEV_18207,52746
T53,U8665,U11544,6391.0,UPI,Mobile,34282.0,27891.0,104089,2025-03-10 22:02:00,Melbourne,True,DEV_8665,21569
T54,U3629,U17563,14767.0,UPI,Mobile,70789.0,56022.0,155588,2025-04-29 06:04:00,Tokyo,True,DEV_3629,34221
T55,U17242,U17831,10744.0,UPI,Web,81912.0,71168.0,296722,2025-05-02 22:36:00,Iwakuni,True,DEV_17242,31975
