trans_id,sender_id,receiver_id,amount,drain_ratio,amount_deviation,is_night_tx,time_to_pay_ms,rapid_outbound_after_inbound,forwarding_delay_mins,is_round_amount,distance_from_50k_threshold,distance_from_1L_threshold,near_threshold_flag,fragmentation_score,counterparty_diversity,txn_velocity_1h,balance_depletion_speed,empty_account_flag,is_sim_bound_at_tx
T17607,U0,U3718,470.0,0.0117,1.0,0,999999000,0,16666.65,0,49530.0,99530.0,0,0.0,1,1,0.0117,0,True
T15625,U10,U2207,3210.0,0.1676,0.4193885550039195,1,999999000,0,16666.65,0,46790.0,96790.0,0,0.0,2,2,0.1676,0,True
T6024,U10,U9902,12098.0,0.3872,1.5806114449960804,0,4388040000,0,73134.0,0,37902.0,87902.0,0,0.0,2,2,0.3872,0,True
T2048,U100,U17972,1622.0,0.0469,1.0,0,999999000,0,16666.65,0,48378.0,98378.0,0,0.0,1,1,0.0469,0,True
T7007,U1000,U12196,3330.0,0.0251,0.685890834191555,1,999999000,0,16666.65,0,46670.0,96670.0,0,0.0,3,3,0.0251,0,True
T5071,U1000,U2839,10655.0,0.0744,2.194644696189495,0,2274780000,0,37913.0,0,39345.0,89345.0,0,0.0,3,3,0.0744,0,True
T4450,U1000,U2875,580.0,0.004,0.11946446961894953,1,1794060000,0,29901.0,0,49420.0,99420.0,0,0.0,3,3,0.004,0,True
T4299,U10001,U6,7457.0,0.0773,0.9797661279726712,0,999999000,0,16666.65,0,42543.0,92543.0,0,0.0,2,2,0.0773,0,True
T10755,U10001,U9901,7765.0,0.0872,1.020233872027329,0,4485240000,0,74754.0,0,42235.0,92235.0,0,0.0,2,2,0.0872,0,True
T8284,U10002,U9127,5632.9,0.7,0.8712309274683123,0,999999000,0,16666.65,0,44367.1,94367.1,0,0.0,2,2,0.7,0,True
T2657,U10002,U2570,7298.0,0.4756,1.1287690725316877,0,4217400000,0,70290.0,0,42702.0,92702.0,0,0.0,2,2,0.4756,0,True
T4675,U10003,U2665,1714.0,0.0144,1.0,0,999999000,0,16666.65,0,48286.0,98286.0,0,0.0,1,1,0.0144,0,True
T13683,U10004,U4379,11311.0,0.1718,1.0,0,999999000,0,16666.65,0,38689.0,88689.0,0,0.0,1,1,0.1718,0,True
T8658,U10005,U3852,8106.0,0.1223,0.7583497053045186,0,999999000,0,16666.65,0,41894.0,91894.0,0,0.0,2,2,0.1223,0,True
T2478,U10005,U17079,13272.0,0.1669,1.2416502946954813,0,777900000,0,12965.0,0,36728.0,86728.0,0,0.0,2,2,0.1669,0,True
T8541,U10007,U11808,8022.0,0.0701,0.8333246766737651,0,999999000,0,16666.65,0,41978.0,91978.0,0,0.0,2,2,0.0701,0,True
T11156,U10007,U1916,11231.0,0.1056,1.1666753233262348,1,5716020000,0,95267.0,0,38769.0,88769.0,0,0.0,2,2,0.1056,0,True
T8460,U10009,U8543,13834.0,0.1258,1.0,0,999999000,0,16666.65,0,36166.0,86166.0,0,0.0,1,1,0.1258,0,True
T7979,U1001,U18909,9078.0,0.07,1.0370116518163126,0,999999000,0,16666.65,0,40922.0,90922.0,0,0.0,2,2,0.07,0,True
T9401,U1001,U19279,8430.0,0.0698,0.9629883481836875,1,291180000,0,4853.0,0,41570.0,91570.0,0,0.0,2,2,0.0698,0,True
T7337,U10010,U10821,13737.0,0.1136,1.0,0,999999000,0,16666.65,0,36263.0,86263.0,0,0.0,1,1,0.1136,0,True
T15169,U10011,U851,10808.0,0.1334,0.8559775076228567,1,999999000,0,16666.65,0,39192.0,89192.0,0,0.0,2,2,0.1334,0,True
T3769,U10011,U13433,14445.0,0.1513,1.1440224923771434,1,2435580000,0,40593.0,0,35555.0,85555.0,0,0.0,2,2,0.1513,0,True
T16842,U10015,U3485,2937.0,0.0625,0.4434881087202718,1,999999000,0,16666.65,0,47063.0,97063.0,0,0.0,2,2,0.0625,0,True
T15628,U10015,U13894,10308.0,0.1799,1.5565118912797282,0,621420000,0,10357.0,0,39692.0,89692.0,0,0.0,2,2,0.1799,0,True
T9953,U10019,U6838,4513.0,0.2368,1.0,0,999999000,0,16666.65,0,45487.0,95487.0,0,0.0,1,1,0.2368,0,True
T9837,U10020,U14833,889.0,0.0066,1.0,1,999999000,0,16666.65,0,49111.0,99111.0,0,0.0,1,1,0.0066,0,True
T3354,U10021,U18319,14125.0,0.8215,1.0,1,999999000,0,16666.65,0,35875.0,85875.0,0,0.0,1,1,0.8215,0,True
T5833,U10022,U4986,7485.0,0.1131,1.0,1,999999000,0,16666.65,0,42515.0,92515.0,0,0.0,1,1,0.1131,0,True
T14981,U10024,U10216,1262.0,0.0137,1.0,1,999999000,0,16666.65,0,48738.0,98738.0,0,0.0,1,1,0.0137,0,True
T3267,U10026,U10060,6868.0,0.0493,1.0,0,999999000,0,16666.65,0,43132.0,93132.0,0,0.0,1,1,0.0493,0,True
T9818,U10027,U16977,2840.0,0.9354,0.44585107318237194,0,999999000,0,16666.65,0,47160.0,97160.0,0,0.0,5,5,0.9354,1,True
T7004,U10027,U17965,9157.0,0.475,1.4375557313841478,0,3304020000,0,55067.0,0,40843.0,90843.0,0,0.0,5,5,0.475,0,True
T367,U10027,U13996,12631.0,0.3959,1.9829383469600492,0,4560000,0,76.0,0,37369.0,87369.0,0,0.0,5,5,0.3959,0,True
T8737,U10027,U5418,7084.0,0.7,1.1121158459239164,1,402900000,0,6715.0,0,42916.0,92916.0,0,0.0,5,5,0.7,0,True
T11729,U10027,U1473,137.2,0.7,0.021539002549514585,1,2320440000,0,38674.0,0,49862.8,99862.8,0,0.0,5,5,0.7,1,True
T12986,U10028,U12293,907.0,0.0196,1.0,0,999999000,0,16666.65,0,49093.0,99093.0,0,0.0,1,1,0.0196,0,True
T187,U10029,U2202,10761.0,0.0921,1.610204997755499,0,999999000,0,16666.65,0,39239.0,89239.0,0,0.0,2,2,0.0921,0,True
T999,U10029,U1047,2605.0,0.0246,0.389795002244501,1,2053740000,0,34229.0,0,47395.0,97395.0,0,0.0,2,2,0.0246,0,True
T4027,U10030,U19056,14671.0,0.1442,1.0,1,999999000,0,16666.65,0,35329.0,85329.0,0,0.0,1,1,0.1442,0,True
T12676,U10031,U15768,9445.0,0.1042,1.0,1,999999000,0,16666.65,0,40555.0,90555.0,0,0.0,1,1,0.1042,0,True
T10056,U10034,U18839,7618.0,0.1982,0.7716253629549599,1,999999000,0,16666.65,0,42382.0,92382.0,0,0.0,3,3,0.1982,0,True
